Date/Time,Word Count,en,sv,zh
2023.12.01-10.13.01,0,0,0,0
2023.12.01-10.13.29,8,8,0,0
2023.12.01-10.17.29,11,11,0,0
2023.12.01-10.18.28,11,11,11,0
2023.12.01-10.25.31,15,15,0,0
2023.12.01-10.26.34,15,15,15,0
2023.12.01-10.27.37,18,18,15,0
2023.12.01-10.34.16,18,18,14,0
2023.12.01-10.41.33,30,30,18,0
2023.12.01-10.45.28,36,36,30,0
2023.12.01-10.54.34,46,46,36,0
2023.12.01-11.08.23,53,53,46,0
2023.12.01-11.09.04,52,52,46,0
2023.12.01-11.12.49,60,60,52,0
2023.12.01-11.35.28,62,62,60,0
2023.12.01-14.04.22,69,69,62,0
2023.12.01-14.40.11,75,75,69,0
2023.12.01-14.46.48,77,77,75,0
2023.12.05-16.01.58,89,89,77,0
2023.12.05-16.03.44,90,90,89,0
2023.12.11-11.52.18,107,107,90,0
2024.01.02-15.35.36,109,109,93,0
2024.01.02-15.42.29,144,144,95,0
2024.01.02-15.46.58,148,148,95,0
2024.01.02-16.10.34,152,152,140,0
2024.01.03-10.12.25,156,156,144,0
2024.01.03-10.43.46,171,171,148,0
2024.01.03-10.48.30,171,171,146,0
2024.01.03-11.10.51,175,175,161,0
2024.01.05-09.39.30,186,186,165,0
2024.01.05-17.24.41,183,183,171,0
2024.01.09-10.10.36,185,185,173,0
2024.01.09-10.19.15,188,188,167,0
2024.01.09-10.21.36,188,188,188,0
2024.01.20-12.59.41,201,201,188,0
2024.01.30-19.45.44,244,244,201,0
2024.02.06-17.03.06,246,246,244,0
2024.02.06-17.09.53,267,267,246,0
2024.02.06-18.10.37,270,270,267,0
2024.02.06-18.34.57,276,276,270,0
2024.02.06-18.36.25,276,276,274,0
2024.02.25-14.03.01,285,285,273,0
2024.02.26-15.04.35,285,285,279,2
2024.02.28-10.45.42,285,285,279,244
